DPU 14, Thread 8, Cycles: 560
DPU 14, Thread 9, Cycles: 576
DPU 14, Thread 10, Cycles: 576
DPU 14, Thread 11, Cycles: 576
DPU 14, Thread 12, Cycles: 576
DPU 14, Thread 13, Cycles: 576
DPU 14, Thread 14, Cycles: 592
DPU 14, Thread 15, Cycles: 384
DPU 15, Thread 0, Cycles: 576
DPU 15, Thread 1, Cycles: 448
DPU 15, Thread 2, Cycles: 480
DPU 15, Thread 3, Cycles: 464
DPU 15, Thread 4, Cycles: 496
DPU 15, Thread 5, Cycles: 496
DPU 15, Thread 6, Cycles: 512
DPU 15, Thread 7, Cycles: 544
DPU 15, Thread 8, Cycles: 560
DPU 15, Thread 9, Cycles: 576
DPU 15, Thread 10, Cycles: 576
DPU 15, Thread 11, Cycles: 576
DPU 15, Thread 12, Cycles: 576
DPU 15, Thread 13, Cycles: 576
DPU 15, Thread 14, Cycles: 592
DPU 15, Thread 15, Cycles: 384
DPU 16, Thread 0, Cycles: 576
DPU 16, Thread 1, Cycles: 448
DPU 16, Thread 2, Cycles: 480
DPU 16, Thread 3, Cycles: 464
DPU 16, Thread 4, Cycles: 496
DPU 16, Thread 5, Cycles: 496
DPU 16, Thread 6, Cycles: 512
DPU 16, Thread 7, Cycles: 544
DPU 16, Thread 8, Cycles: 560
DPU 16, Thread 9, Cycles: 576
DPU 16, Thread 10, Cycles: 576
DPU 16, Thread 11, Cycles: 576
DPU 16, Thread 12, Cycles: 576
DPU 16, Thread 13, Cycles: 576
DPU 16, Thread 14, Cycles: 592
DPU 16, Thread 15, Cycles: 384
DPU 17, Thread 0, Cycles: 576
DPU 17, Thread 1, Cycles: 448
DPU 17, Thread 2, Cycles: 480
DPU 17, Thread 3, Cycles: 464
DPU 17, Thread 4, Cycles: 496
DPU 17, Thread 5, Cycles: 496
DPU 17, Thread 6, Cycles: 512
DPU 17, Thread 7, Cycles: 544
DPU 17, Thread 8, Cycles: 560
DPU 17, Thread 9, Cycles: 576
DPU 17, Thread 10, Cycles: 576
DPU 17, Thread 11, Cycles: 576
DPU 17, Thread 12, Cycles: 576
DPU 17, Thread 13, Cycles: 576
DPU 17, Thread 14, Cycles: 592
DPU 17, Thread 15, Cycles: 384
DPU 18, Thread 0, Cycles: 576
DPU 18, Thread 1, Cycles: 448
DPU 18, Thread 2, Cycles: 480
DPU 18, Thread 3, Cycles: 464
DPU 18, Thread 4, Cycles: 496
DPU 18, Thread 5, Cycles: 496
DPU 18, Thread 6, Cycles: 512
DPU 18, Thread 7, Cycles: 544
DPU 18, Thread 8, Cycles: 560
DPU 18, Thread 9, Cycles: 576
DPU 18, Thread 10, Cycles: 576
DPU 18, Thread 11, Cycles: 576
DPU 18, Thread 12, Cycles: 576
DPU 18, Thread 13, Cycles: 576
DPU 18, Thread 14, Cycles: 592
DPU 18, Thread 15, Cycles: 384
DPU 19, Thread 0, Cycles: 576
DPU 19, Thread 1, Cycles: 448
DPU 19, Thread 2, Cycles: 480
DPU 19, Thread 3, Cycles: 464
DPU 19, Thread 4, Cycles: 496
DPU 19, Thread 5, Cycles: 496
DPU 19, Thread 6, Cycles: 512
DPU 19, Thread 7, Cycles: 544
DPU 19, Thread 8, Cycles: 560
DPU 19, Thread 9, Cycles: 576
DPU 19, Thread 10, Cycles: 576
DPU 19, Thread 11, Cycles: 576
DPU 19, Thread 12, Cycles: 576
DPU 19, Thread 13, Cycles: 576
DPU 19, Thread 14, Cycles: 592
DPU 19, Thread 15, Cycles: 384
DPU 20, Thread 0, Cycles: 576
DPU 20, Thread 1, Cycles: 448
DPU 20, Thread 2, Cycles: 480
